transaction_id,date,store_id,product_id,quantity_sold,discount_amount
d5c01d90-af01-4cf7-8042-7c189763e33d,2023-10-01,S-033,P-007,1,0
753da34c-890e-4d61-ac71-43bca4a41037,2023-10-01,S-007,P-006,1,0
19cf124f-0ec8-4111-886c-97559609428a,2023-10-01,S-011,P-005,1,0
3bd0ee2f-9836-420f-991a-9eb400535543,2023-10-01,S-018,P-001,3,0
26875af3-2f57-47ae-a305-2dc753120492,2023-10-01,S-002,P-006,3,2400
4313e7ce-6a6e-4e40-93d9-8c6d1d496952,2023-10-01,S-006,P-002,1,950
dac55c95-b6f2-4a2b-9544-06547bfb912e,2023-10-01,S-020,P-002,5,0
cc8a22d5-a67a-488c-85c5-d745aee2c258,2023-10-01,S-047,P-004,2,0
c166ded6-44bc-49a5-8334-4ba682a9b66f,2023-10-01,S-041,P-002,1,0
4ed441a9-8664-4d4d-8c6f-e686478c2c51,2023-10-01,S-018,P-002,2,0
4f4a4c6f-55a4-4c73-a280-285c483f8888,2023-10-01,S-014,P-007,3,0
fb5d929c-189f-4dd2-9aa8-024a86b5495c,2023-10-01,S-040,P-002,3,0
a8579650-5fc6-4871-b006-77e07c5e3929,2023-10-01,S-015,P-001,4,0
98bb6313-cd43-4840-9d01-e4c7c180632c,2023-10-01,S-022,P-003,5,11000
09da1056-3471-4146-8362-cb3639a510a4,2023-10-01,S-042,P-003,2,0
ac4bb218-e161-4a80-a3c1-5bf3f75eae49,2023-10-01,S-006,P-001,2,0
995e70ad-2970-4a85-b389-6b2a7adb190a,2023-10-01,S-032,P-002,4,0
02398f95-302e-4b15-ac7e-4dede030e4bd,2023-10-01,S-031,P-003,1,0
1e4fa6c4-0a1c-4e89-8cc4-cdad5f63e3bf,2023-10-01,S-034,P-002,5,0
a18b76b9-a76d-46b8-9086-1daf5c2bba75,2023-10-01,S-039,P-004,4,0
be5bc097-adb5-45c6-90d1-3c8bae103f9c,2023-10-01,S-006,P-003,1,0
f2be5f88-31ad-4e5e-99a3-0af6b92adafb,2023-10-01,S-033,P-004,1,0
75daea7a-86a6-4cd1-b9a9-acfa75d4d89f,2023-10-01,S-036,P-002,1,0
77238e79-04f2-48dd-b3dc-a98191f56d70,2023-10-01,S-009,P-007,4,0
91201e9b-2751-404f-bc03-849859e23041,2023-10-01,S-029,P-004,1,0
95f31fcf-6480-4ac9-8c16-38a7aa92357e,2023-10-01,S-001,P-006,1,0
22fe611e-3239-4f4f-b4d1-933a31b83974,2023-10-01,S-050,P-004,1,0
b4f402d9-1593-4993-9dce-773705c3bd65,2023-10-01,S-045,P-001,2,1400
17e000d9-aeb6-4518-9904-28a37961ff30,2023-10-01,S-027,P-001,4,0
c0d3d5f8-f983-4611-9fce-f5d2f83d93ef,2023-10-01,S-001,P-006,5,0
806bd456-f6f3-4e63-a196-64d823d85bee,2023-10-01,S-036,P-002,1,0
0a2bd5e4-4d9e-4d38-8299-d0e29820b7a9,2023-10-01,S-035,P-007,1,0
572f5643-fea7-4147-8eb5-75ec20576b48,2023-10-01,S-034,P-006,2,0
c171773d-0af2-4e08-9f0c-fea9a7cf35f4,2023-10-01,S-009,P-004,4,0
091da1d1-09bc-4ff2-a600-314b8b6e0d8a,2023-10-01,S-042,P-007,1,0
94a5fd3d-fdb2-4a2b-88bd-5da62bd3df66,2023-10-01,S-044,P-003,1,0
257d2d67-3507-4e30-a54c-c238419297a0,2023-10-01,S-021,P-007,1,0
894bfe01-71fc-42b9-94d4-761c32f429a8,2023-10-01,S-005,P-003,1,2200
6166cbbe-d8ce-47d8-9033-68c31f33f71e,2023-10-01,S-012,P-006,3,0
f529e26d-4970-4768-bac0-5656de8cdd98,2023-10-01,S-027,P-002,24,0
bc8e74d2-0ffd-439a-bd24-ff04554db6a6,2023-10-01,S-011,P-003,4,0
09eccd68-9816-4980-85f1-30e7182db0b4,2023-10-01,S-025,P-001,4,0
e8284bb2-47b7-44ab-a1e6-f67449bc0872,2023-10-01,S-041,P-005,3,0
f367ea64-1db7-4c09-9b66-ceee55707f21,2023-10-01,S-010,P-006,1,0
4762599e-51fc-428a-893f-7f528d67e7c3,2023-10-01,S-010,P-002,1,950
60fe9639-7211-40a1-9cf2-5a83239fc927,2023-10-01,S-010,P-007,5,4500
7f0a0109-271e-42d6-aca1-64e49aada75e,2023-10-01,S-041,P-007,2,0
c51fcd0c-f51e-4751-bdec-efb1df3771a9,2023-10-01,S-002,P-004,2,0
948cd8ed-3683-4512-b769-f002f0d06b58,2023-10-01,S-048,P-004,5,5250
5ca1913f-4f95-4128-aeac-78382840e4ac,2023-10-01,S-002,P-004,3,0
36b4db24-444f-48ab-a3b2-a12f42e848e3,2023-10-01,S-050,P-006,2,0
a7d15a25-9991-459f-9505-400f7a4fa4d7,2023-10-01,S-007,P-002,1,0
6825030f-cb91-4fd0-a465-589829c6c706,2023-10-01,S-002,P-001,1,0
9511ac2f-38dc-459b-8959-c22dc676aec4,2023-10-01,S-020,P-005,10,0
ee4c7e98-2512-4d4c-8230-3e91037d2589,2023-10-01,S-025,P-002,5,0
f4babda8-da90-4b42-8dbd-a89735399283,2023-10-01,S-011,P-002,1,0
f2030323-8e4f-4814-b30b-db3c58d9d0e7,2023-10-01,S-009,P-002,1,0
b2527843-18a3-45dc-b783-ae19c417f63e,2023-10-01,S-031,P-001,1,0
e7aadee0-614b-47d9-9c0a-518a42c55958,2023-10-01,S-031,P-004,10,0
89c9f4b6-1263-42c8-85bc-6929cf3d3f38,2023-10-01,S-013,P-006,1,0
e2fb0177-248e-4f5d-aa71-cc6937fa5743,2023-10-01,S-045,P-007,2,0
297ef146-d8a6-47cb-b9bf-96e5c153fa44,2023-10-01,S-036,P-005,2,2100
dd82fff8-371c-4025-afe0-f550ebd8ea08,2023-10-01,S-050,P-002,1,0
0d83f3bc-949b-4208-9169-4b8adc95614f,2023-10-01,S-002,P-005,3,0
dc2acafb-a287-403d-ba26-c0451c6eb0c9,2023-10-01,S-002,P-001,1,0
56f15400-d562-40d4-a78d-fd63694a60b4,2023-10-01,S-031,P-003,1,0
72d2c12f-8d07-4ae2-9c67-a9bb168e8001,2023-10-01,S-025,P-004,1,0
a30f0f2b-356e-4014-91a8-d287d3b1dfe9,2023-10-01,S-017,P-001,4,0
e8bacaa5-4e87-4b68-8585-e81d48730593,2023-10-01,S-037,P-003,2,0
cf973e30-2b46-4089-90aa-5d058892e8f0,2023-10-01,S-036,P-007,2,1800
87a5305b-304a-4067-ae38-0163c9619bfc,2023-10-01,S-031,P-001,2,0
cc315d2d-a74f-4069-b2e4-54e5e36cff86,2023-10-01,S-004,P-001,2,0
0b117410-437b-4865-87cf-88aedc6393dd,2023-10-01,S-018,P-001,1,700
3693cb94-9991-4027-8c6a-243ce491a5b7,2023-10-01,S-029,P-007,5,0
ab4d6137-588f-47ab-8a77-166dd7c7912d,2023-10-01,S-022,P-001,1,0
9bf1b308-d23e-4631-9c92-47a0761f1477,2023-10-01,S-027,P-005,1,0
b12d422e-9680-4361-98f4-071747fbb84f,2023-10-01,S-044,P-007,1,0
2e107654-cf2f-410e-9cdc-db41585d9c61,2023-10-01,S-021,P-005,1,0
333059fb-b62f-448c-b82d-64aa05677365,2023-10-01,S-031,P-004,2,2100
292e6887-29ac-4eb5-b8cd-d16518be378a,2023-10-01,S-013,P-002,2,0
f76adbfe-c4aa-43ce-a4e7-1ba32bd5581c,2023-10-01,S-016,P-004,3,0
566ef479-d076-4366-b850-c9c98d376d66,2023-10-01,S-001,P-004,4,0
f3a78413-47f3-4347-b60c-3fbdaafb57d8,2023-10-01,S-002,P-003,1,0
37c8e8be-149c-46b4-8783-35ba2be038bb,2023-10-01,S-030,P-006,3,0
4c92ddd6-839d-474d-b6e5-b57e4eea3b41,2023-10-01,S-045,P-002,2,0
7092d77e-c1f2-416e-b671-af03fa12f10c,2023-10-01,S-047,P-005,3,0
fad551d5-ea1c-450a-8cb9-6084950fb8b9,2023-10-01,S-044,P-002,1,0
1bf81197-c25a-4c03-af10-52b3f9023487,2023-10-01,S-026,P-002,2,0
305adf62-5101-468f-b724-04ee833d64c1,2023-10-01,S-018,P-002,2,1900
f37a35ca-2f6e-44a6-bca1-60e50fa33bca,2023-10-01,S-021,P-002,24,0
2b6092cd-c87f-46a2-9c00-fc76ff625b45,2023-10-01,S-033,P-005,4,0
b9de13d4-0ab6-44b5-8c6b-77675527f26c,2023-10-01,S-033,P-002,1,0
d75a44d6-4fed-43d2-8908-0edf99128a65,2023-10-01,S-003,P-001,2,0
305a35f5-9ae5-42b8-a585-3f89a69654f8,2023-10-01,S-033,P-006,2,0
8de7328f-151f-4055-ba67-38eadcc59e64,2023-10-01,S-040,P-007,4,3600
ec16c9c6-a17f-450b-abc1-858c6f5bb7f9,2023-10-01,S-030,P-004,2,0
d047ae6e-6aaa-40a3-abf3-13aaf8bc5589,2023-10-01,S-008,P-003,5,0
d18b4e29-9df4-4099-958a-506609408984,2023-10-01,S-033,P-003,2,0
9bec0e07-18d0-4add-a8fe-a2eea2636865,2023-10-01,S-034,P-001,1,0
556ef6a2-176e-4428-99c0-ee15c1c3ac6d,2023-10-01,S-044,P-004,4,0
cefc5917-b5e2-4c74-aae1-bef219fe62bd,2023-10-01,S-008,P-004,1,0
cc235c11-5b3b-475c-a45a-4e6edd7bab87,2023-10-01,S-021,P-001,5,0
